,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
stays[3479],-0.005654854576715677,0.008571714329607835,0.1258157158726942,-0.24286711365685823,-0.09895082710003616,-0.01000027556672312,0.0870968390757187,0.22252833212285572,215.44400230589648,1.017023602663972
stays[3480],0.022156426671326574,0.005676802888240174,0.13555677787309042,-0.22790690824795018,-0.075681493918777,0.02748351519906298,0.12686410665111866,0.2991376592240621,570.2100204808097,1.0026633056027938
stays[3481],0.31786647200627466,0.009253038523907301,0.12910050259129244,0.059387850556806565,0.23024924678433994,0.31656768480384573,0.4136562794466022,0.55353094689021,194.66466439362605,0.9991173292150272
stays[3482],0.45200296016493696,0.013699905886106579,0.15628837890573466,0.14925011602392685,0.34050002272005714,0.4396838852288185,0.5599710331869053,0.7369585169982034,130.14221844669282,1.0064365970799063
stays[3483],0.9897947624487524,0.0058390083980873605,0.12052368958630391,0.7445065435324217,0.9093703948515006,0.9995489425019488,1.0744263938698706,1.224046149360873,426.05595193753675,1.0125388867600882
stays[3484],0.3651539825890742,0.007621325957864996,0.11677850238525249,0.13075165744919326,0.3011425087164732,0.3628070713293104,0.4407531572827605,0.5983255779603978,234.7819632521543,0.9989500606175429
stays[3485],0.2654580553968893,0.007876375510146562,0.1431494245207425,-0.008266156681721823,0.1592496057773433,0.27264375359111104,0.37749075978882685,0.539014465404935,330.31354773709035,1.000537987107045
stays[3486],0.42466001729797487,0.005117833913981746,0.14273788204607207,0.15789291012344825,0.32493433508619013,0.4180973345408483,0.5159214236191371,0.7265564929566733,777.8683854214689,1.0004962799363526
stays[3487],0.39829849726285305,0.006453965140997596,0.13977023359651855,0.11306791288614002,0.3001238415949765,0.40164427735792707,0.494583518429692,0.6737749471199961,469.0035729459379,1.0031492161751343
stays[3488],0.4992822206751741,0.0042869164268891785,0.11209837772841955,0.2871858689459423,0.4290711649711768,0.49419441925342533,0.5668308797302168,0.7400478668206013,683.767762109856,0.9995253965938334
stays[3489],-0.16703836856770188,0.006826972952482899,0.11347713951056151,-0.3900225470103372,-0.24850970479052192,-0.1676857006083289,-0.08233120947192274,0.0456470407225143,276.2869645195274,1.00285109556206
stays[3490],-0.07654076362907082,0.004934225161585929,0.11884871361000582,-0.3085003141418047,-0.16188761092910509,-0.07393492311624761,0.009856697080713114,0.16909291495431406,580.1643565075193,1.0101102569634106
stays[3491],-0.4514143818725823,0.01454154860205856,0.1460335849635865,-0.7373279811025399,-0.5516496373734548,-0.4582555253341406,-0.35594465154656446,-0.1778703396984075,100.85192106683411,1.0188632427094648
stays[3492],0.0828845608376688,0.003766735432462242,0.082013458541075,-0.07019055363439523,0.02038730697900346,0.0797768286867116,0.14034319254116107,0.238775992407348,474.06732056266253,1.0013438584881313
