,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
stays[3977],0.2598858073416126,0.0031903770737179127,0.11209652835405526,0.03339152702169982,0.18982208185155997,0.2615989484314041,0.3359506472419108,0.4756384505798008,1234.5261501469454,1.002530697024448
stays[3978],0.5836368706767336,0.0029259169369233655,0.10771814596704063,0.3549375687018246,0.5196831478919892,0.5808933087538799,0.6571059549700802,0.798245969454507,1355.3571580622656,1.0005038929416525
stays[3979],0.16288166356693384,0.0035912899147502145,0.11814493983327036,-0.07401806827536446,0.09019615990276993,0.16245419873806435,0.2491473437047407,0.37448524322391585,1082.2542976971292,0.9989375718296271
stays[3980],0.21363352597745955,0.0034287105500828063,0.12242403196932428,-0.031179308953422382,0.13314189026398726,0.20957968016125852,0.2963632717171709,0.46257298801564783,1274.887050334957,0.9988795812230113
stays[3981],0.22786655747417653,0.0029123635365002165,0.100364694401285,0.03241949341655684,0.16534343291820786,0.22133275572366162,0.2972699201255885,0.42460497920004714,1187.6015704987171,1.0018478941615967
stays[3982],0.28788876778566663,0.003998567098963533,0.12134414944031846,0.060045537583099766,0.20230283073436095,0.29144981548144844,0.37032978733430455,0.5288985148888977,920.9348487825413,1.0003594700200154
stays[3983],0.21673194063688864,0.0031244540425880095,0.11869975340675452,-0.02368118170559908,0.13456847825643603,0.21182757881467917,0.29391924839497796,0.45759061031462434,1443.2825186360192,0.9986670624504722
stays[3984],0.10474748012239873,0.004064839864232573,0.11616022360752261,-0.12691423130332236,0.021627141069692733,0.10779196624246062,0.1842243049294551,0.32696761709955335,816.6350136134615,0.9987293351839681
stays[3985],0.23844799912817394,0.004179608560904884,0.1377186855884326,-0.017789036769165517,0.13881345437643886,0.23313589634602078,0.3276756839411684,0.5207842480309278,1085.7117001839265,0.9988042829666645
stays[3986],0.37270004061542444,0.002262545718543309,0.0899073284458618,0.19255671962564713,0.3099433458045603,0.3712043617726192,0.43400344406049673,0.5441067288227159,1579.0484612014743,0.9986885945819519
stays[3987],0.25183775665597197,0.0025775157673746728,0.09877011628229747,0.05597847673580578,0.1853676889172563,0.25184055238462993,0.32152478440327026,0.4479431344225696,1468.413838878801,0.9994455076491418
