fig1b: Table 1
Animal,Sex,StayProbability_previousReward,StayProbability_previousNoReward,,,
45,Male,6.94,7.10,3.75,3.13
46,Male,5.35,4.58,3.25,2.64
47,Male,5.64,4.65,2.10,1.70
48,Male,5.62,6.81,4.08,2.53
49,Male,3.51,3.71,2.66,2.54
50,Male,4.51,4.33,3.09,2.66
51,Male,6.85,5.38,2.94,2.28
52,Male,9.68,7.72,3.45,2.80
53,Male,3.56,5.00,1.72,1.52
54,Male,3.66,3.40,2.21,2.40
55,Male,5.03,4.43,2.55,1.65
56,Male,5.81,4.79,2.86,2.64
57,Male,6.43,5.73,2.04,1.99
58,Male,7.27,5.47,4.17,3.06
59,Male,7.50,5.91,3.73,3.04
60,Male,4.82,3.61,2.31,1.44
61,Male,6.25,5.58,2.71,2.19
62,Male,6.43,4.09,2.72,2.78
63,Male,3.95,4.79,2.07,1.21
64,Male,5.40,4.48,2.20,2.04
65,Male,6.34,5.51,3.10,2.29
66,Male,4.76,5.57,3.20,2.99
67,Male,5.51,4.58,1.88,1.95
68,Male,6.13,5.26,1.90,1.70
69,Male,8.06,7.78,3.93,3.35
70,Male,5.66,4.42,2.94,2.66
71,Male,3.86,4.75,1.80,1.49
72,Male,4.05,4.03,1.84,1.67
