,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
alphas[2386],0.27274582608999404,0.005147723491958143,0.12645187682458245,0.03301914780545336,0.18586795223761932,0.2670160550597839,0.3425909609634984,0.5672537557163276,603.4206070862373,0.9993944713128975
alphas[2387],0.25140802599513534,0.0042365082291783126,0.11123604799854798,0.04144287845207054,0.17067772089583982,0.2540674330691971,0.32413313607640504,0.47828139856491897,689.4058954836875,1.0002190236496078
alphas[2388],0.27109903340839786,0.003637214718136337,0.11247096384373129,0.06347839080397734,0.1950663625874283,0.26472586839395584,0.3393732416306008,0.5203184163204985,956.1872628316856,1.0003234321865346
alphas[2389],0.34058483111379995,0.005850441604246089,0.132419804328853,0.10516533146656172,0.2518501063080389,0.32860718988258975,0.416628844919002,0.6433225493667174,512.304989895437,1.00230337593454
alphas[2390],0.3811168695656202,0.00534040852281671,0.13426714885245852,0.1588908398088378,0.2854532106119227,0.36666243726338726,0.4693683475871402,0.6615138407838556,632.1069610260545,1.0019359514291588
alphas[2391],0.2075162092665571,0.003927367299322496,0.10751772992916685,0.02709438668234978,0.12631947493611725,0.19915160978395502,0.27952754011125913,0.44302066329885675,749.4749697605329,1.0004811056215464
alphas[2392],0.1820644893922287,0.0040374266423411674,0.10231291173198158,0.0136799681174442,0.10293336925613014,0.17558380999149142,0.2501991728503953,0.3915008305353567,642.1723465004283,0.9999899795325299
alphas[2393],0.1874061981134037,0.004867227593515746,0.1158731068532116,0.011460245733400157,0.09952274694273519,0.1737058081131042,0.26045239428063105,0.44502716614047866,566.7636575659608,0.9997375664901035
alphas[2394],0.1482670902377946,0.004790108366400056,0.09823059790598042,0.011623570499995309,0.06988584103934582,0.13308193849890781,0.21126271180333672,0.36499410381154557,420.5357273031112,0.9993795846915601
alphas[2395],0.22331913726139574,0.00470812378111391,0.11559403009661891,0.022994951753686883,0.13775932976863353,0.22147396891207582,0.29905698844144135,0.46136969978197134,602.8025294238986,1.002646208892652
alphas[2396],0.24275937134849862,0.004405992444550364,0.12560405718260784,0.028941654942047628,0.14850935905253165,0.23438719821983783,0.3225914251132225,0.5238553383943021,812.6805010784345,1.0008964555952427
alphas[2397],0.1453591669435151,0.005020253901977734,0.1005090644011525,0.004001691718375397,0.06382455493888389,0.13126134358692843,0.21313571667812298,0.37102796861626886,400.82896372431384,0.9997075419958339
alphas[2398],0.2711952644009266,0.0041769841336255446,0.1322921153329451,0.03783300070575892,0.18205734432891296,0.2624799743210465,0.3428472291750562,0.5761614618948234,1003.0954730665501,1.0004438198957346
alphas[2399],0.3408519745378803,0.005750808903793098,0.1441914203038667,0.09744911516688762,0.24153653378319004,0.3202648190679397,0.42466116766989426,0.6818379542534105,628.6674379109074,1.000245878018189
alphas[2400],0.2665762480122056,0.004387956278827686,0.12214837142127445,0.04013389967666286,0.18449527570108915,0.26223088837150355,0.3411868733189696,0.5359365146195559,774.9091315641533,1.0009287722399458
alphas[2401],0.2049046906525807,0.00523211003397197,0.11556062042574983,0.006859470604261468,0.1198309180302799,0.2037884642378187,0.2810191549659593,0.44785549895169363,487.82717771799474,1.0020910994515593
